Year,Month,Sensor_ID,Hourly_Counts,sensor_description,sensor_name
2010,04,4,1111326,Town Hall (West),Swa123_T
2010,04,3,837419,Melbourne Central,Swa295_T
2010,04,2,779147,Bourke Street Mall (South),Bou283_T
2010,04,5,743949,Princes Bridge,PriNW_T
2010,04,6,709573,Flinders Street Station Underpass,FliS_T
2010,04,1,584322,Bourke Street Mall (North),Bou292_T
2010,04,15,545050,State Library,QV_T
2010,04,16,513211,Australia on Collins,Col270_T
2010,04,13,487441,Flagstaff Station,Wil277_T
2010,04,17,319625,Collins Place (South),Col15_T
2012,02,4,1136505,Town Hall (West),Swa123_T
2012,02,3,797638,Melbourne Central,Swa295_T
2012,02,6,796421,Flinders Street Station Underpass,FliS_T
2012,02,2,795730,Bourke Street Mall (South),Bou283_T
2012,02,1,693906,Bourke Street Mall (North),Bou292_T
2012,02,5,629101,Princes Bridge,PriNW_T
2012,02,13,566731,Flagstaff Station,Wil277_T
2012,02,15,548209,State Library,QV_T
2012,02,16,501062,Australia on Collins,Col270_T
2012,02,17,350724,Collins Place (South),Col15_T
2015,09,38,1727151,Flinders St-Swanston St (West),Swa11_T
2015,09,4,1049441,Town Hall (West),Swa123_T
2015,09,6,1038950,Flinders Street Station Underpass,FliS_T
2015,09,22,1021606,Flinders St-Elizabeth St (East),Eli274_T
2015,09,3,930881,Melbourne Central,Swa295_T
2015,09,5,821938,Princes Bridge,PriNW_T
2015,09,1,802090,Bourke Street Mall (North),Bou292_T
2015,09,24,758920,Spencer St-Collins St (North),Col620_T
2015,09,2,751721,Bourke Street Mall (South),Bou283_T
2015,09,29,745970,St Kilda Rd-Alexandra Gardens,AG_T
2009,07,4,1110075,Town Hall (West),Swa123_T
2009,07,2,877690,Bourke Street Mall (South),Bou283_T
2009,07,3,826210,Melbourne Central,Swa295_T
2009,07,6,757096,Flinders Street Station Underpass,FliS_T
2009,07,5,743246,Princes Bridge,PriNW_T
2009,07,1,610587,Bourke Street Mall (North),Bou292_T
2009,07,13,562069,Flagstaff Station,Wil277_T
2009,07,16,530208,Australia on Collins,Col270_T
2009,07,15,525256,State Library,QV_T
2009,07,17,346578,Collins Place (South),Col15_T
2021,07,41,709195,Flinders La-Swanston St (West),Swa31
2021,07,22,587906,Flinders St-Elizabeth St (East),Eli274_T
2021,07,5,526115,Princes Bridge,PriNW_T
2021,07,35,499399,Southbank,SouthB_T
2021,07,4,483035,Town Hall (West),Swa123_T
2021,07,28,408728,The Arts Centre,VAC_T
2021,07,55,405882,Elizabeth St-La Trobe St (East),Eli380_T
2021,07,1,397827,Bourke Street Mall (North),Bou292_T
2021,07,6,363938,Flinders Street Station Underpass,FliS_T
2021,07,15,343527,State Library,QV_T
2014,03,4,1151765,Town Hall (West),Swa123_T
2014,03,22,1099678,Flinders St-Elizabeth St (East),Eli274_T
2014,03,3,1083106,Melbourne Central,Swa295_T
2014,03,1,845532,Bourke Street Mall (North),Bou292_T
2014,03,5,844643,Princes Bridge,PriNW_T
2014,03,32,836980,City Square,CSq_T
2014,03,2,787833,Bourke Street Mall (South),Bou283_T
2014,03,15,744602,State Library,QV_T
2014,03,24,733306,Spencer St-Collins St (North),Col620_T
2014,03,28,679056,The Arts Centre,VAC_T
2020,02,22,1209332,Flinders St-Elizabeth St (East),Eli274_T
2020,02,41,1174631,Flinders La-Swanston St (West),Swa31
2020,02,6,1006221,Flinders Street Station Underpass,FliS_T
2020,02,35,1002477,Southbank,SouthB_T
2020,02,5,942341,Princes Bridge,PriNW_T
2020,02,4,905988,Town Hall (West),Swa123_T
