Year,Month,Mdate,Sensor_ID,Hourly_Counts,sensor_description,sensor_name
2009,5,1,4,45185,Town Hall (West),Swa123_T
2009,5,1,1,36869,Bourke Street Mall (North),Bou292_T
2009,5,1,6,29015,Flinders Street Station Underpass,FliS_T
2009,5,1,2,27587,Bourke Street Mall (South),Bou283_T
2009,5,1,5,25590,Princes Bridge,PriNW_T
2009,5,1,13,23350,Flagstaff Station,Wil277_T
2009,5,1,15,23178,State Library,QV_T
2009,5,1,16,22555,Australia on Collins,Col270_T
2009,5,1,17,14863,Collins Place (South),Col15_T
2009,5,1,18,12437,Collins Place (North),Col12_T
2009,5,2,4,38856,Town Hall (West),Swa123_T
2009,5,2,1,30003,Bourke Street Mall (North),Bou292_T
2009,5,2,5,26182,Princes Bridge,PriNW_T
2009,5,2,2,22090,Bourke Street Mall (South),Bou283_T
2009,5,2,6,19645,Flinders Street Station Underpass,FliS_T
2009,5,2,15,17875,State Library,QV_T
2009,5,2,16,15110,Australia on Collins,Col270_T
2009,5,2,12,8808,New Quay,NewQ_T
2009,5,2,14,7874,Sandridge Bridge,SanBri_T
2009,5,2,11,5913,Waterfront City,WatCit_T
2009,5,3,4,31812,Town Hall (West),Swa123_T
2009,5,3,1,22327,Bourke Street Mall (North),Bou292_T
2009,5,3,5,21142,Princes Bridge,PriNW_T
2009,5,3,6,17143,Flinders Street Station Underpass,FliS_T
2009,5,3,2,16333,Bourke Street Mall (South),Bou283_T
2009,5,3,15,13396,State Library,QV_T
2009,5,3,11,11457,Waterfront City,WatCit_T
2009,5,3,12,11322,New Quay,NewQ_T
2009,5,3,16,10281,Australia on Collins,Col270_T
2009,5,3,14,6892,Sandridge Bridge,SanBri_T
2009,5,4,4,34983,Town Hall (West),Swa123_T
2009,5,4,1,26481,Bourke Street Mall (North),Bou292_T
2009,5,4,6,25887,Flinders Street Station Underpass,FliS_T
2009,5,4,13,25829,Flagstaff Station,Wil277_T
2009,5,4,5,19720,Princes Bridge,PriNW_T
2009,5,4,2,19452,Bourke Street Mall (South),Bou283_T
2009,5,4,15,18130,State Library,QV_T
2009,5,4,16,18044,Australia on Collins,Col270_T
2009,5,4,17,13657,Collins Place (South),Col15_T
2009,5,4,18,11656,Collins Place (North),Col12_T
2009,5,5,4,34359,Town Hall (West),Swa123_T
2009,5,5,5,27453,Princes Bridge,PriNW_T
2009,5,5,1,26671,Bourke Street Mall (North),Bou292_T
2009,5,5,6,26109,Flinders Street Station Underpass,FliS_T
2009,5,5,13,26097,Flagstaff Station,Wil277_T
2009,5,5,2,19797,Bourke Street Mall (South),Bou283_T
2009,5,5,15,19545,State Library,QV_T
2009,5,5,16,18376,Australia on Collins,Col270_T
2009,5,5,17,14623,Collins Place (South),Col15_T
2009,5,5,18,12171,Collins Place (North),Col12_T
2009,5,6,4,35649,Town Hall (West),Swa123_T
2009,5,6,1,27234,Bourke Street Mall (North),Bou292_T
2009,5,6,5,27041,Princes Bridge,PriNW_T
2009,5,6,6,26510,Flinders Street Station Underpass,FliS_T
2009,5,6,13,25183,Flagstaff Station,Wil277_T
2009,5,6,2,20198,Bourke Street Mall (South),Bou283_T
2009,5,6,15,18967,State Library,QV_T
2009,5,6,16,18558,Australia on Collins,Col270_T
2009,5,6,17,14453,Collins Place (South),Col15_T
2009,5,6,18,12351,Collins Place (North),Col12_T
2009,5,7,4,37622,Town Hall (West),Swa123_T
2009,5,7,1,29064,Bourke Street Mall (North),Bou292_T
2009,5,7,6,26131,Flinders Street Station Underpass,FliS_T
2009,5,7,13,25095,Flagstaff Station,Wil277_T
2009,5,7,5,25036,Princes Bridge,PriNW_T
2009,5,7,2,21889,Bourke Street Mall (South),Bou283_T
2009,5,7,15,19256,State Library,QV_T
2009,5,7,16,18993,Australia on Collins,Col270_T
2009,5,7,17,14014,Collins Place (South),Col15_T
2009,5,7,18,12008,Collins Place (North),Col12_T
2009,5,8,4,44638,Town Hall (West),Swa123_T
2009,5,8,1,37474,Bourke Street Mall (North),Bou292_T
2009,5,8,6,28733,Flinders Street Station Underpass,FliS_T
2009,5,8,2,28386,Bourke Street Mall (South),Bou283_T
2009,5,8,5,24397,Princes Bridge,PriNW_T
2009,5,8,13,23962,Flagstaff Station,Wil277_T
2009,5,8,16,22209,Australia on Collins,Col270_T
2009,5,8,15,22045,State Library,QV_T
2009,5,8,17,14223,Collins Place (South),Col15_T
2009,5,8,18,11688,Collins Place (North),Col12_T
2009,5,9,4,38143,Town Hall (West),Swa123_T
2009,5,9,1,28397,Bourke Street Mall (North),Bou292_T
2009,5,9,5,21024,Princes Bridge,PriNW_T
2009,5,9,2,20884,Bourke Street Mall (South),Bou283_T
2009,5,9,6,18120,Flinders Street Station Underpass,FliS_T
2009,5,9,15,17550,State Library,QV_T
2009,5,9,16,13694,Australia on Collins,Col270_T
2009,5,9,14,7341,Sandridge Bridge,SanBri_T
2009,5,9,12,7051,New Quay,NewQ_T
2009,5,9,11,4337,Waterfront City,WatCit_T
2009,5,10,5,27991,Princes Bridge,PriNW_T
2009,5,10,4,25923,Town Hall (West),Swa123_T
2009,5,10,1,19313,Bourke Street Mall (North),Bou292_T
2009,5,10,6,15961,Flinders Street Station Underpass,FliS_T
2009,5,10,2,14262,Bourke Street Mall (South),Bou283_T
2009,5,10,15,12311,State Library,QV_T
2009,5,10,11,11733,Waterfront City,WatCit_T
2009,5,10,12,10028,New Quay,NewQ_T
2009,5,10,16,8800,Australia on Collins,Col270_T
2009,5,10,14,5884,Sandridge Bridge,SanBri_T
2009,5,11,4,32248,Town Hall (West),Swa123_T
2009,5,11,13,25212,Flagstaff Station,Wil277_T
2009,5,11,1,24359,Bourke Street Mall (North),Bou292_T
2009,5,11,6,24203,Flinders Street Station Underpass,FliS_T
2009,5,11,5,18717,Princes Bridge,PriNW_T
2009,5,11,2,17943,Bourke Street Mall (South),Bou283_T
2009,5,11,15,17933,State Library,QV_T
2009,5,11,16,16773,Australia on Collins,Col270_T
2009,5,11,17,13526,Collins Place (South),Col15_T
2009,5,11,18,11638,Collins Place (North),Col12_T
2009,5,12,4,32019,Town Hall (West),Swa123_T
2009,5,12,13,25247,Flagstaff Station,Wil277_T
2009,5,12,6,24912,Flinders Street Station Underpass,FliS_T
2009,5,12,1,24575,Bourke Street Mall (North),Bou292_T
2009,5,12,5,19903,Princes Bridge,PriNW_T
2009,5,12,15,18688,State Library,QV_T
2009,5,12,2,18309,Bourke Street Mall (South),Bou283_T
2009,5,12,16,17690,Australia on Collins,Col270_T
2009,5,12,17,14149,Collins Place (South),Col15_T
2009,5,12,18,12234,Collins Place (North),Col12_T
2009,5,13,4,33749,Town Hall (West),Swa123_T
2009,5,13,1,25609,Bourke Street Mall (North),Bou292_T
2009,5,13,6,25247,Flinders Street Station Underpass,FliS_T
2009,5,13,13,24995,Flagstaff Station,Wil277_T
2009,5,13,5,21251,Princes Bridge,PriNW_T
2009,5,13,2,19194,Bourke Street Mall (South),Bou283_T
2009,5,13,15,18996,State Library,QV_T
2009,5,13,16,18001,Australia on Collins,Col270_T
2009,5,13,17,13869,Collins Place (South),Col15_T
2009,5,13,18,11898,Collins Place (North),Col12_T
2009,5,14,4,37207,Town Hall (West),Swa123_T
2009,5,14,1,27030,Bourke Street Mall (North),Bou292_T
2009,5,14,6,25745,Flinders Street Station Underpass,FliS_T
2009,5,14,13,25087,Flagstaff Station,Wil277_T
2009,5,14,5,22920,Princes Bridge,PriNW_T
2009,5,14,2,20963,Bourke Street Mall (South),Bou283_T
2009,5,14,16,19153,Australia on Collins,Col270_T
