Year,Month,Sensor_ID,Hourly_Counts,sensor_description,sensor_name
2009,5,4,1095125,Town Hall (West),Swa123_T
2009,5,1,842470,Bourke Street Mall (North),Bou292_T
2009,5,6,729966,Flinders Street Station Underpass,FliS_T
2009,5,5,711896,Princes Bridge,PriNW_T
2009,5,2,628472,Bourke Street Mall (South),Bou283_T
2009,5,15,570028,State Library,QV_T
2009,5,13,538822,Flagstaff Station,Wil277_T
2009,5,16,521101,Australia on Collins,Col270_T
2009,5,3,347366,Melbourne Central,Swa295_T
2009,5,17,337352,Collins Place (South),Col15_T
2009,6,4,1009857,Town Hall (West),Swa123_T
2009,6,1,801945,Bourke Street Mall (North),Bou292_T
2009,6,3,740878,Melbourne Central,Swa295_T
2009,6,6,674285,Flinders Street Station Underpass,FliS_T
2009,6,5,635352,Princes Bridge,PriNW_T
2009,6,2,593036,Bourke Street Mall (South),Bou283_T
2009,6,13,527632,Flagstaff Station,Wil277_T
2009,6,16,484893,Australia on Collins,Col270_T
2009,6,15,466171,State Library,QV_T
2009,6,17,327694,Collins Place (South),Col15_T
2009,7,4,1110075,Town Hall (West),Swa123_T
2009,7,2,877690,Bourke Street Mall (South),Bou283_T
2009,7,3,826210,Melbourne Central,Swa295_T
2009,7,6,757096,Flinders Street Station Underpass,FliS_T
2009,7,5,743246,Princes Bridge,PriNW_T
2009,7,1,610587,Bourke Street Mall (North),Bou292_T
2009,7,13,562069,Flagstaff Station,Wil277_T
2009,7,16,530208,Australia on Collins,Col270_T
2009,7,15,525256,State Library,QV_T
2009,7,17,346578,Collins Place (South),Col15_T
2009,8,4,1050461,Town Hall (West),Swa123_T
2009,8,2,847853,Bourke Street Mall (South),Bou283_T
2009,8,3,827432,Melbourne Central,Swa295_T
2009,8,6,721539,Flinders Street Station Underpass,FliS_T
2009,8,5,700272,Princes Bridge,PriNW_T
2009,8,1,560625,Bourke Street Mall (North),Bou292_T
2009,8,13,540355,Flagstaff Station,Wil277_T
2009,8,15,539908,State Library,QV_T
2009,8,16,489810,Australia on Collins,Col270_T
2009,8,17,326793,Collins Place (South),Col15_T
2009,9,4,1017890,Town Hall (West),Swa123_T
2009,9,2,836776,Bourke Street Mall (South),Bou283_T
2009,9,3,780036,Melbourne Central,Swa295_T
2009,9,6,700836,Flinders Street Station Underpass,FliS_T
2009,9,5,699272,Princes Bridge,PriNW_T
2009,9,13,545023,Flagstaff Station,Wil277_T
2009,9,1,532613,Bourke Street Mall (North),Bou292_T
2009,9,15,518451,State Library,QV_T
2009,9,16,481442,Australia on Collins,Col270_T
2009,9,17,334670,Collins Place (South),Col15_T
2009,10,4,1058684,Town Hall (West),Swa123_T
2009,10,2,866911,Bourke Street Mall (South),Bou283_T
2009,10,6,748989,Flinders Street Station Underpass,FliS_T
2009,10,5,725048,Princes Bridge,PriNW_T
2009,10,3,724329,Melbourne Central,Swa295_T
2009,10,1,568757,Bourke Street Mall (North),Bou292_T
2009,10,15,560199,State Library,QV_T
2009,10,13,551139,Flagstaff Station,Wil277_T
2009,10,16,511023,Australia on Collins,Col270_T
2009,10,17,349472,Collins Place (South),Col15_T
2009,11,4,1075112,Town Hall (West),Swa123_T
2009,11,2,819881,Bourke Street Mall (South),Bou283_T
2009,11,3,793497,Melbourne Central,Swa295_T
2009,11,6,731875,Flinders Street Station Underpass,FliS_T
2009,11,1,706073,Bourke Street Mall (North),Bou292_T
2009,11,5,700342,Princes Bridge,PriNW_T
2009,11,13,503682,Flagstaff Station,Wil277_T
2009,11,16,497652,Australia on Collins,Col270_T
2009,11,15,481941,State Library,QV_T
2009,11,17,326776,Collins Place (South),Col15_T
2009,12,4,1198678,Town Hall (West),Swa123_T
2009,12,2,1022298,Bourke Street Mall (South),Bou283_T
2009,12,1,841261,Bourke Street Mall (North),Bou292_T
2009,12,3,795765,Melbourne Central,Swa295_T
2009,12,6,777770,Flinders Street Station Underpass,FliS_T
2009,12,5,705360,Princes Bridge,PriNW_T
2009,12,16,551491,Australia on Collins,Col270_T
2009,12,13,470939,Flagstaff Station,Wil277_T
2009,12,15,459247,State Library,QV_T
2009,12,17,316187,Collins Place (South),Col15_T
2010,1,4,1046480,Town Hall (West),Swa123_T
2010,1,2,780024,Bourke Street Mall (South),Bou283_T
2010,1,5,705279,Princes Bridge,PriNW_T
2010,1,3,703179,Melbourne Central,Swa295_T
2010,1,6,689157,Flinders Street Station Underpass,FliS_T
2010,1,1,582056,Bourke Street Mall (North),Bou292_T
